seed,corrupt,r01,r10,precision,recall,f1,TP,FP,FN
9,100,0.3,0.6,0.8421052631578947,0.8,0.8205128205128205,80,15,20
9,100,0.3,0.7,0.7474747474747475,0.74,0.743718592964824,74,25,26
9,100,0.4,0.5,0.8316831683168316,0.84,0.835820895522388,84,17,16
9,100,0.5,0.7,0.77,0.77,0.7699999999999999,77,23,23
9,100,0.5,0.6,0.83,0.83,0.83,83,17,17
9,100,0.4,0.4,0.86,0.86,0.8599999999999999,86,14,14
9,100,0.4,0.3,0.9494949494949495,0.94,0.9447236180904524,94,5,6
9,100,0.6,0.3,0.9696969696969697,0.96,0.964824120603015,96,3,4
9,100,0.6,0.4,0.8585858585858586,0.85,0.8542713567839195,85,14,15
9,100,0.7,0.6,0.79,0.79,0.79,79,21,21
9,100,0.7,0.7,0.75,0.75,0.75,75,25,25
9,100,0.6,0.5,0.85,0.85,0.85,85,15,15
9,100,0.3,0.5,0.8316831683168316,0.84,0.835820895522388,84,17,16
9,100,0.3,0.4,0.84,0.84,0.8399999999999999,84,16,16
9,100,0.3,0.3,0.9504950495049505,0.96,0.9552238805970149,96,5,4
9,100,0.4,0.6,0.7878787878787878,0.78,0.7839195979899497,78,21,22
9,100,0.5,0.3,0.9504950495049505,0.96,0.9552238805970149,96,5,4
9,100,0.5,0.4,0.8613861386138614,0.87,0.8656716417910448,87,14,13
9,100,0.5,0.5,0.8080808080808081,0.8,0.8040201005025126,80,19,20
9,100,0.4,0.7,0.7474747474747475,0.74,0.743718592964824,74,25,26
9,100,0.6,0.7,0.801980198019802,0.81,0.8059701492537314,81,20,19
9,100,0.7,0.5,0.83,0.83,0.83,83,17,17
9,100,0.7,0.4,0.89,0.89,0.89,89,11,11
9,100,0.7,0.3,0.96,0.96,0.96,96,4,4
9,100,0.6,0.6,0.79,0.79,0.79,79,21,21
9,10,0.3,0.6,0.5,0.5,0.5,5,5,5
9,10,0.3,0.7,0.6,0.6,0.6,6,4,4
9,10,0.4,0.5,0.6,0.6,0.6,6,4,4
9,10,0.5,0.7,0.4,0.4,0.4000000000000001,4,6,6
9,10,0.5,0.6,0.5,0.5,0.5,5,5,5
9,10,0.4,0.4,0.5,0.5,0.5,5,5,5
9,10,0.4,0.3,0.7,0.7,0.7,7,3,3
9,10,0.6,0.3,0.8,0.8,0.8000000000000002,8,2,2
9,10,0.6,0.4,0.6,0.6,0.6,6,4,4
9,10,0.7,0.6,0.5,0.5,0.5,5,5,5
9,10,0.7,0.7,0.5555555555555556,0.5,0.5263157894736842,5,4,5
9,10,0.6,0.5,0.5,0.5,0.5,5,5,5
9,10,0.3,0.5,0.6,0.6,0.6,6,4,4
9,10,0.3,0.4,0.5,0.5,0.5,5,5,5
9,10,0.3,0.3,0.7,0.7,0.7,7,3,3
